pm25,carbon 
7.4,0.3
10.4,0.4
16.2,0.5
16.8,0.7
7.9,0.2
9.1,0.3
14.2,0.6
7.2,0.4
9.6,0.6
11.2,0.5
5.8,0.3
9.7,0.5
7.6,0.4
17.2,0.8
11.6,0.5
7.9,0.4
10.2,0.4
6.7,0.2
6.8,0.3
8.1,0.4
6.1,0.2
8.6,0.4
11,0.5
7.7,0.3
9.4,0.2
5.9,0.2
7.9,0.3
10.5,0.5
13,0.5
6.2,0.3
4.8,0.3
5.6,0.3
7,0.5
5.1,0.2
5.3,0.2
6.7,0.3
7,0.3
6.4,0.3
5.9,0.1
5.2,0.2
10.4,0.5
13,0.5
6,0.2
5.2,0.3
5.4,0.3
8.6,0.5
8.5,0.5
10.7,0.7
15.9,0.8
8.1,0.5
13.8,0.7
14.1,0.7
8.4,0.6
6.8,0.4
6.4,0.3
5.9,0.3
10.8,0.5
11,0.7
10.2,0.5
6.4,0.4
4,0.3
4.6,0.3
11.1,0.6
7.2,0.4
4.9,0.3
5.1,0.3
13.1,0.6
18.3,0.8
5.4,0.3
5,0.3
5.6,0.3
3.9,0.2
5.9,0.3
23.3,0.6
14,0.5
6.5,0.3
6.3,0.3
9.4,0.4
15.5,0.6
11.5,0.5
4.7,0.3
7.4,0.4
4.8,0.3
7.2,0.4
4.7,0.3
4.5,0.3
4.3,0.2
6.4,0.4
14.1,0.7
7.5,0.4
7.8,0.4
6.5,0.2
6.1,0.3
9.7,0.5
11.3,0.5
5,0.2
6.2,0.3
6.7,0.4
9.1,0.4
13.1,0.5
6.8,0.4
6.5,0.3
6.4,0.3
18,0.7
12.6,0.5
8.5,0.4
6,0.3
6.6,0.2
8.3,0.3
5.2,0.2
6.1,0.2
5.4,0.3
5.2,0.2
6.9,0.3
9,0.4
6.3,0.3
7.1,0.4
8.4,0.4
5.6,0.3
4.9,0.3
6.1,0.2
4.1,0.2
7,0.4
5.5,0.2
6.5,0.4
9.2,0.5
10.6,0.3
6.3,0.2
6,0.4
8.1,0.4
6.7,0.3
6.1,0.3
5.8,0.3
10.8,0.4
10.1,0.5
8.4,0.3
10.6,0.4
5,0.3
7.8,0.5
9,0.5
6.9,0.3
8.2,0.4
8.4,0.4
8.9,0.5
7,0.3
4.7,0.2
5.3,0.3
5.8,0.2
5.1,0.2
6.2,0.2
6.5,0.3
13.5,0.5
13.8,0.4
13,0.5
13.1,0.6
19.6,0.8
17.4,0.7
7,0.3
6.1,0.4
6.1,0.3
4.5,0.2
5.2,0.2
6.5,0.3
13.6,0.4
3.9,0.2
6.8,0.4
3.7,0.3
5.6,0.3
10.5,0.5
7.7,0.3
5.2,0.4
5.2,0.4
3.3,0.3
4.2,0.2
5.9,0.4
11.1,0.5
7.9,0.4
7.9,0.5
13.9,0.8
8.2,0.3
4.8,0.3
3.5,0.3
3.4,0.3
2.3,0.2
4.7,0.3
2.9,0.2
6.1,0.3
10.8,0.5
7.9,0.3
4.5,0.2
3.3,0.2
4.3,0.2
5.3,0.3
4.7,0.2
5.7,0.2
5.3,0.2
9.7,0.4
4.7,0.2
4,0.2
3.2,0.2
4.7,0.2
4.7,0.2
6,0.3
5.6,0.3
4.4,0.3
4,0.2
8.7,0.4
16.7,0.8
8.5,0.5
5.8,0.3
3.2,0.2
3.9,0.2
6.8,0.3
7.5,0.3
7.7,0.3
5.2,0.2
7.9,0.4
4.8,0.2
3.7,0.2
4.9,0.2
4.3,0.3
4.1,0.5
6.2,0.7
7,0.8
5.3,0.2
3.3,0.1
5.1,0.2
9.1,0.3
11.2,0.3
10.2,0.4
13.7,0.6
13.1,0.6
20.4,0.8
11.2,0.4
4.1,0.1
4.4,0.1
6.9,0.2
10.9,0.4
7.5,0.2
4.3,0.2
4.8,0.5
8.7,0.1
7,0.2
14.7,0.4
4.9,0.2
6.6,0.3
12.4,0.5
7.3,0.3
5.9,0.2
7.3,0.3
18.2,0.5
6,0.2
2.9,0.1
8.8,0.4
7.7,0.4
9.2,0.3
12,0.4
14.6,0.6
9.4,0.3
3.4,0.2
5.8,0.2
6.8,0.2
5.3,0.2
6.1,0.2
7.1,0.3
10.4,0.3
9.2,0.3
10.9,0.4
8.9,0.1
8,0.2
5.6,0.2
7.6,0.3
8.5,0.4
8.8,0.2
3.2,0.1
4.3,0.2
3.6,0.2
3.5,0.2
7.7,0.4
4.3,0.2
4.4,0.2
4,0.2
6.3,0.2
3.9,0.1
2.4,0.1
2.6,0.1
4.5,0.2
5.4,0.2
3.9,0.1
4.5,0.1
4.2,0.1
5.9,0.1
7,0.2
5,0.2
5.7,0.1
11.3,0.3
12.5,0.4
4.9,0.1
6.1,0.2
8.9,0.2
11.8,0.3
9.5,0.2
6.1,0.2
8.8,0.2
6.7,0.2
10.7,0.2
13.9,0.3
10.7,0.2
8.7,0.1
