temp,wind
59.1,6
48.1,6.8
42.9,10.1
38.9,6.2
40.8,4.1
44.9,5.1
47,4
47.1,2.8
48.8,2.4
50.2,2.9
50.8,6
50.5,9.6
52.7,6.8
43.5,7
41.8,5.2
43.9,7.5
41.1,5.5
44.2,4
50,5
45.8,5.5
45.3,5.6
46.6,3.5
49.4,6
50.9,10.6
36.8,5
39,3.1
45.5,6.6
54,6.1
55.5,4.4
52,8.5
41.4,7.5
37.6,5.9
38.9,4
41.6,7
47.3,6.9
49.2,4.9
50.5,5.9
47.1,3.7
45.1,3.3
46.9,3.7
46,7.6
37.2,5.8
35.3,5.7
38.8,5.4
43.6,8.5
51.2,7.6
51,5.1
50.2,4.7
50.6,5.1
56.1,5.6
46.9,16
43.6,5.6
48.4,4.3
51.6,5
53.8,4.3
49.4,8.4
44.4,10.4
39.8,10.1
40.2,5.6
50.6,6.6
53.4,6
49.9,10.9
48.8,6.7
54.6,6.9
57.8,3.5
64.3,8.4
61.7,9.6
54.9,9.9
53.2,5.6
57.1,7.3
60.1,8.2
60.7,6.9
61.1,7
57.3,5.2
56.7,5.1
52.8,6.5
24.2,13.5
22.9,5.7
36.6,5.3
44.7,7.3
40.1,5.6
43.6,4.5
56.3,6.5
53.6,9.5
50.3,5
55.1,5.3
61.4,5.5
60.5,6.2
54,5.2
57.7,7.4
54.8,10.1
