nitrogen,pm25
19.5,9.1
19.7,13.1
13.4,6.8
13.4,6.5
12.6,6.4
27.1,18
24.6,12.6
17.2,8.5
9.6,6
8.3,6.6
10.8,8.3
6.4,5.2
5.3,6.1
9.4,5.4
13.4,5.2
11.1,6.9
12.7,9
9.5,6.3
22.8,7.1
22.9,8.4
9.1,5.6
3.3,4.9
4.6,6.1
6.3,4.1
19,7
7,5.5
14.1,6.5
21.2,9.2
8.8,10.6
4.6,6.3
14.4,6
21.6,8.1
15,6.7
16.6,6.1
11.4,5.8
17,10.8
23.4,10.1
18.8,8.4
19.4,10.6
15.6,8.2
11.8,8.4
17.9,8.9
13.6,7
10.5,4.7
10.2,5.3
1.8,5.8
3.2,5.1
8.2,6.2
21.3,6.5
25.6,13.5
23.5,13.8
25.6,13
23,13.1
25.2,19.6
8.3,6.1
3.5,4.5
3.2,5.2
14.3,6.5
17.2,13.6
9.8,3.9
10.8,6.8
13.7,3.7
17,5.6
22.6,10.5
18.3,7.7
24.6,5.2
21.1,5.2
11.9,3.3
5.7,4.2
14.2,5.9
16.2,11.1
17.7,7.9
19.7,7.9
31.8,13.9
9.6,8.2
5.7,4.8
6.5,3.5
6.3,3.4
4.7,2.3
13.7,4.7
10.1,2.9
21.1,6.1
33.4,10.8
24.5,7.9
14.2,4.5
9.3,3.3
15.4,4.3
18.5,5.3
13.9,4.7
14.8,5.7
16.1,5.3
20,9.7
5.2,4.7
6.1,4
7.6,3.2
9.1,4.7
10.2,4.7
14.2,6
12.7,5.6
10.5,4.4
7.6,4
12.6,8.7
26.8,16.7
23.3,8.5
13.8,5.8
4.5,3.2
8.6,3.9
13.7,6.8
13.4,7.5
8.2,7.7
2.6,5.2
12.2,7.9
-0.2,4.8
1.3,3.7
6.3,4.9
10.2,4.3
17.3,4.1
20.9,6.2
15.2,7
17,7.7
23.8,9.2
32,12
40.2,14.6
22.5,9.4
7.9,3.4
17.4,5.8
19.4,6.8
13.8,5.3
17.2,6.1
22,7.1
23.1,10.4
19.5,9.2
22.1,10.9
5.3,8.9
13.6,8
16.5,5.6
16.3,7.6
22.3,8.5
11.6,8.8
7.6,3.2
6.9,4.3
15.2,3.6
15.2,3.5
25.7,7.7
9.8,4.3
9.6,4.4
12.5,4
22.2,6.3
12.1,3.9
6.8,2.4
8.2,2.6
13.7,4.5
10.2,5.4
10.7,3.9
13.2,4.5
13.3,4.2
18.8,5.9
18.1,7
13.7,5
4.6,5.7
14.1,11.3
23.6,12.5
9.7,4.9
11.5,6.1
18.3,8.9
19.2,11.8
11.3,9.5
17.7,6.1
24.1,8.8
16.3,6.7
17.5,10.7
21.2,13.9
15.8,10.7
8.8,8.7
