nitrogen,pm25
3.8,3.1
9.4,5.1
21.8,6.7
11.2,2.6
15.1,5
14.1,4
9.1,2.8
5.2,2.3
7.9,4
9.3,4.8
16,7
22.8,6.7
20.3,4.3
11.9,3.1
8.3,3.2
14.3,7.7
12.1,5.1
19,6.9
20.1,7.5
12.5,4.3
11.4,5
23.4,9.4
33,14.2
8.2,8.6
16,5.3
6.4,3.7
11.1,3.9
16.2,5.4
17.2,4.5
7.4,4.5
5.3,4.1
2.8,4.8
4.5,4
16.6,7.1
20.1,4.5
18.7,6.6
18.7,5.2
13.8,3.9
23.8,6.2
27.3,8.8
23.6,8.9
17.8,6.1
27.6,9.7
24.5,9.6
14.2,5
15.3,4.4
22.4,6.5
25.4,9.2
21.8,9.7
18.8,8.6
16.4,8.1
8.1,8
7.8,9.8
4.4,4.7
19.8,7.2
17.7,5.8
20,7.8
25,8.1
15.2,6.8
16.1,6.9
33.3,20.1
20.7,9.7
4.2,7
15.8,15.1
9.2,5.4
11,8.7
15.2,12.2
7.3,6.7
12.5,7
16.4,9.1
9.4,7.2
13,6.6
9.4,5.7
16.4,8.6
20.9,10
5,8.5
1.4,17.7
7.9,8.1
17,10.4
25.9,19.1
22.6,16.8
12.1,7.2
13.6,8.9
15.2,9.6
1.5,4.9
13.8,11.1
14.8,8.1
16.3,8.7
12.8,7.3
9.2,6.3
8.9,7.7
5.9,7.1
4.4,5.6
9.5,7.7
4.7,5.1
7.5,5.2
7,5.6
9.1,5.8
23.4,15.5
28.2,13.4
14.3,4.8
14.2,4.5
33.7,12.8
24.9,11.5
4.4,11.7
7.5,8.2
4.1,5
3,7.1
-0.3,5.3
6.4,5.2
15.6,6.7
4.1,4.5
7,4.6
18.4,9.3
8.6,5.8
13.7,7.9
23.9,11.8
23.1,8.5
14.6,5.1
15.8,5.6
38.6,16.4
33.9,14.1
24.8,11.1
15.4,7.3
11.7,5.2
7.5,6.6
13.1,6.7
32.8,12.8
24.2,11.2
16.2,11.1
8.4,13.5
5.7,6
7.5,4.7
22.6,8.2
18.8,6.4
8.1,6.6
14.2,14.1
3.9,4.8
4.1,4.1
7.9,4.8
8.4,5
3.4,12.1
3.3,6
10.9,7.3
19.8,7.9
13,7.3
7,20.7
23.8,11.7
28.2,14
28.4,9.2
13.3,8.7
12.5,5.9
11.3,5.9
13.8,5.6
22,15.2
29.8,15.3
29.6,13.7
26.1,11.6
23.2,10.3
17.5,11.2
25.1,15.9
26.2,15.7
14.7,15.5
15.7,6.7
11.5,6.7
11.9,5.8
10.8,5.7
5.7,7.6
11,5.1
20.3,12.2
18.2,16.7
13.2,5.2
21.7,9.7
26.8,14.6
22.9,9.5
15.8,6.4
8.8,10
7.6,7.8
16.8,9.9
23.6,6.8
31.5,12.7
25.4,13.4
24.2,11.2
4.5,3.7
25.5,14.2
24.1,14.7
8.2,7.2
8.8,9.1
15.9,7.9
19.8,11.8
26.1,15.4
19.3,9.5
9.9,4.8
18.6,7.4
24.1,10.4
29.2,16.2
30,16.8
1.3,7.9
13.6,9.1
21.5,14.2
17.2,7.2
25.8,9.6
21.8,11.2
10.2,5.8
22.4,9.7
22.5,7.6
44.6,17.2
19.6,11.6
16.6,7.9
22.3,10.2
8.7,6.7
13.3,6.8
17.2,8.1
9.5,6.1
18.7,8.6
29.5,11
20.5,7.7
4.3,9.4
4.2,5.9
15.2,7.9
24.4,10.5
19.2,13
11,6.2
7.6,4.8
9.2,5.6
10.2,7
6,5.1
6,5.3
12.1,6.7
11.6,7
15.7,6.4
5.5,5.9
8.2,5.2
25.9,10.4
25.6,13
5.7,6
6,5.2
7.2,5.4
22.2,8.6
22.9,8.5
27.6,10.7
36.9,15.9
15.7,8.1
14.5,13.8
19.5,8.4
16.7,6.8
8.7,6.4
8,5.9
19.2,10.8
22.6,11
23.6,10.2
14.7,6.4
6.2,4
14.5,4.6
23.4,11.1
17.9,7.2
13.2,4.9
10.7,5.1
20.1,13.1
23.9,18.3
6.6,5.4
5.6,5
10.3,5.6
1.1,3.9
6.4,5.9
12.6,23.3
10.9,14
5.2,6.5
8.6,6.3
16,9.4
26.9,15.5
11.6,4.7
14.1,7.4
7.3,4.8
14.1,7.2
3.8,4.7
7.2,4.5
30,14.1
13.2,7.5
18,7.8
5.6,6.5
11.2,6.1
19,9.7
17,11.3
4.2,5
12.7,6.2
18.8,6.7
