pm10,pm25
43.1,10.9
17.9,7.5
15.8,4.3
33.7,4.8
55.4,8.7
20.2,7
32.5,14.7
20.2,4.9
24.8,6.6
46.3,12.4
25.7,7.3
18.7,5.9
18.9,7.3
33.9,18.2
19.8,6
13.8,2.9
32.6,8.8
29.9,7.7
31.5,9.2
41.6,12
55.6,14.6
42,9.4
12.4,3.4
19.4,5.8
21.8,6.8
19.6,5.3
23.8,6.1
26.3,7.1
32.7,10.4
28.5,9.2
44.5,10.9
59.4,8.9
21.1,8
15.9,5.6
21.8,7.6
24.4,8.5
59.1,8.8
19.5,3.2
15.7,4.3
12.3,3.6
18.4,3.5
33.2,7.7
17.1,4.3
14.9,4.4
18.8,4
27.7,6.3
19.9,3.9
16.9,2.4
17.6,2.6
18.7,4.5
19.8,5.4
17.8,3.9
18.3,4.5
19.5,4.2
21.6,5.9
27.9,7
23.7,5
17.4,5.7
20.3,11.3
24.9,12.5
13.3,4.9
14.2,6.1
19.2,8.9
39.1,11.8
21.7,9.5
16.1,6.1
24.2,8.8
18.8,6.7
30.8,10.7
34.7,13.9
28.1,10.7
24.6,8.7
