pm25,humidity
3.1,62.8
5.1,75.4
6.7,68.1
2.6,62.6
5,83.5
4,70.7
2.8,57.6
2.3,69.5
4,61.6
4.8,60.7
7,51.6
6.7,44.7
4.3,45.7
3.1,31.8
3.2,29
7.7,47.9
5.1,32.7
6.9,31.6
7.5,24.3
4.3,24.9
5,29.7
9.4,31.8
14.2,30.6
8.6,22.6
5.3,28
3.7,40
3.9,49.6
5.4,36
4.5,26.8
4.5,17.1
4.1,19.8
4.8,46.7
4,43.9
7.1,33.8
4.5,28.5
6.6,24
5.2,19
3.9,22.4
6.2,24.1
8.8,24.3
8.9,25.3
6.1,21.6
9.7,20.2
9.6,16.7
5,14.3
4.4,15.6
6.5,18.9
9.2,20.4
9.7,16.9
8.6,16.7
8.1,17.9
8,21.8
9.8,36.4
4.7,29.3
7.2,37.3
5.8,24.7
7.8,23.5
8.1,19.4
6.8,12.7
6.9,13.9
20.1,35.4
9.7,36.9
7,69.6
15.1,58.5
5.4,46.9
8.7,39.9
12.2,46.9
6.7,59.3
7,68
9.1,59.8
7.2,37.9
6.6,33.7
5.7,38.6
8.6,41.5
10,35.5
8.5,16.8
17.7,32
8.1,31.1
10.4,29.5
19.1,33.4
16.8,36.4
7.2,73.9
8.9,68.5
9.6,57.3
4.9,49.3
11.1,51.3
8.1,45.5
8.7,43.4
7.3,58.3
6.3,68.8
7.7,74.4
7.1,75.2
5.6,57.2
7.7,52.1
5.1,39.5
5.2,43.8
5.6,46.2
5.8,37.5
15.5,38.2
13.4,37.2
4.8,28.5
4.5,25.2
12.8,26.8
11.5,31.2
11.7,62.4
4.5,74.9
8.4,61.2
7.5,69.1
8.2,72
5,54
7.1,43.8
5.3,58.7
5.2,47.2
6.7,36.6
4.5,38.3
4.6,31.4
9.3,33.3
5.8,30
7.9,34.4
11.8,29.4
8.5,26.6
5.1,19.1
5.6,20.1
16.4,22.8
14.1,26.5
11.1,27.7
7.3,18.7
5.2,22.8
6.6,33.5
6.7,42.5
12.8,34.9
11.2,28.7
11.1,20
13.5,32.5
6,64.9
4.7,62.2
8.2,43.4
6.4,41.2
6.6,36.2
14.1,43.8
4.8,48.6
4.1,45.7
4.8,38.5
5,28.7
12.1,17.4
6,16.7
7.3,14.8
7.9,16.7
7.3,24.7
20.7,17.9
11.7,27.8
14,31.5
12.3,29.9
9.2,31.7
8.7,29.6
5.9,78.8
5.9,70.9
5.6,62.8
15.2,53.9
15.3,45
13.7,38.6
11.6,29
10.3,30.9
11.2,36.8
15.9,38.8
15.7,47.2
15.5,65.7
6.7,77.1
6.7,64.6
5.8,47.7
5.7,27.6
7.6,30.3
5.1,34.3
12.2,26.3
16.7,25.2
5.2,17.2
9.7,29.8
14.6,36.3
9.5,29.3
6.4,27.8
10,26.3
7.8,45.6
9.9,36.1
6.8,27.2
12.7,24.1
13.4,36.2
11.2,37.5
3.7,28
14.2,34.4
14.7,36.8
7.2,47.9
9.1,41.5
7.9,36.9
11.8,31.4
15.4,34.1
9.5,36.5
4.8,32.3
7.4,32.3
10.4,33.5
16.2,31.2
16.8,26
7.9,30.4
9.1,28.8
14.2,19.9
7.2,16.6
9.6,23.2
11.2,22.8
5.8,17.3
9.7,18
7.6,19.9
17.2,29.7
11.6,29.3
7.9,14
10.2,25.8
6.7,25.2
6.8,18.5
8.1,16.4
6.1,18.6
8.6,32.5
11,24.2
7.7,18.9
9.4,15.5
5.9,26.4
7.9,25.9
10.5,21.2
13,25
6.2,62.1
4.8,80.6
5.6,71.4
7,55.5
5.1,42.9
5.3,40.8
6.7,41.7
7,31.5
6.4,23.6
5.9,21.4
5.2,16.1
10.4,15.6
13,23.7
6,42.3
5.2,47.2
5.4,47.1
8.6,34.3
8.5,39.1
10.7,39.6
15.9,46.7
8.1,73.8
13.8,79.8
14.1,72.9
8.4,50.9
6.8,49
6.4,58.4
5.9,23.8
10.8,26.9
11,27.3
10.2,25.7
6.4,59.4
4,63.1
4.6,42.8
11.1,33.8
7.2,40.4
4.9,24.7
5.1,27.2
13.1,35.4
18.3,30
5.4,58.6
5,50.6
5.6,73.7
3.9,66.8
5.9,62.5
23.3,44.8
14,49
6.5,66.9
6.3,62
9.4,48.9
15.5,43.2
11.5,55.2
4.7,52.6
7.4,46.4
4.8,35.3
7.2,64.8
4.7,60.3
