pm10,ozone
12.3,23
14.7,17
17.9,11
13.7,18
14.6,11
14.5,16
15.8,26
12,35
13.5,27
14.9,26
20,23
21.1,12
17.2,16
19.2,29
18.5,33
20.6,27
19.3,21
26.5,16
31.4,17
22.7,22
21.8,28
31.3,14
47.4,12
49.2,25
22.1,24
18.8,28
16,21
20.5,21
20,17
29.2,29
25.9,34
30.8,37
19,34
15.7,21
21,17
23.1,18
21.4,21
16.7,21
31.6,15
35.5,11
34.2,14
25.2,19
38,16
36.8,17
22.6,23
22,20
27.9,15
38.8,18
41.2,19
31,21
26.8,23
30.6,23
49,35
26.5,36
28.9,21
26.3,23
34.9,28
32.4,19
26.4,29
28.3,27
55.7,8
32.7,16
15.8,23
30.2,14
16.2,25
21.2,26
30.5,21
20.1,15
19.6,12
22.5,14
23.2,24
23.1,20
20.8,21
28.1,14
35.4,10
54.5,24
149.9,35
24.8,23
33.3,14
57.5,7
41.8,9
17.5,16
19.3,14
26.3,14
13.7,37
20.3,19
18.5,16
19.5,14
19.4,17
16.3,23
16.4,17
14.4,24
12.8,35
17.2,25
14.7,31
15.5,25
20.6,21
16.2,25
32.9,16
38.3,9
19.5,18
15.7,21
41.4,11
34.1,9
23.4,22
11.6,30
20.6,23
19.3,14
18.1,15
14.9,27
19.8,32
16.2,39
13.2,37
26.8,20
58.4,30
24,22
47.8,12
41.7,14
44,29
83.9,28
17.7,28
14.2,27
24.7,18
22.2,19
29.8,31
94.3,25
15,43
13.3,36
17.3,24
20.3,14
81.8,34
19.9,46
22,35
37.7,33
29,26
129.7,30
48,11
53.4,9
38.2,16
34.3,22
42.6,19
20.5,16
17.4,22
17.6,19
36,14
42.3,10
47.1,7
42.5,14
35.4,15
36.1,22
42.8,20
41.3,15
29.7,14
16.9,17
17.9,20
18.3,27
23.2,29
22.7,34
17.5,25
31.5,23
39.3,20
18.5,27
35.3,14
39.9,12
30.4,17
21.6,23
27.1,23
21,13
27.9,13
27.6,15
44.5,7
42,11
34,12
19.2,29
51,11
51.6,8
33,28
25.7,26
26.3,15
35.7,16
39.4,13
36.6,21
22.9,29
27.9,20
37.1,15
47.5,13
54.3,16
47.3,39
26.4,23
37.6,15
26.3,21
35.1,16
39,19
22.2,31
28.8,17
28.4,23
55.9,14
37.8,19
29,22
45.7,23
31.4,30
22.7,27
29.9,24
28.3,31
46.2,25
45.2,16
35.1,24
65.6,36
26.7,32
32.9,23
39.4,15
43.6,11
23.5,11
15.1,14
17.5,18
22,17
33.2,25
20,33
29,25
30.2,31
29.5,28
25.8,45
18.5,40
38.7,22
61.9,16
36,39
18.3,33
17.9,32
33.2,22
34.8,15
46.7,21
63.3,5
23.2,10
30.7,8
28.8,11
25.9,13
24,13
24,17
33.5,28
35,13
39.8,12
35.4,9
22.5,18
14.6,28
16.7,21
35.9,15
24.2,16
17.7,24
18.7,22
33.8,14
38.1,10
19.5,32
15.7,30
16,25
12.6,29
15.5,27
35.7,26
28.2,18
17.4,18
16.8,21
24.5,18
35.4,10
29,14
16.8,24
25.6,12
24.6,26
24.7,15
17.3,28
16.6,25
17.2,35
20.4,23
41.6,13
26.7,18
27.8,16
49.6,30
19.8,28
29.1,16
59.3,19
20.5,37
21.1,23
23.6,20
29,24
35.6,26
23,29
30,31
38.2,25
44.9,26
30.1,21
17.6,28
24.3,24
19.6,19
22.4,25
49.7,34
20.4,42
28.9,29
30.1,28
27,20
34.9,32
28.8,24
34,18
25.5,31
24.7,32
40.7,39
17.4,45
30.2,27
27.1,34
24.4,29
35.2,21
68.9,33
15.6,40
17.5,29
26.8,21
22.2,32
22.3,28
23.3,33
18.8,16
25,10
19.2,13
24.4,7
15.2,20
24.7,16
25.3,10
19.3,19
11.8,20
17.8,17
28.7,10
15.8,14
12.3,21
15.7,20
25.3,30
11.8,37
12.8,32
19,16
36,12
31.2,11
30.9,11
28.6,10
51.3,9
31.8,7
12.2,23
14.6,34
9.8,33
8.3,33
12.9,21
23.9,20
12.8,23
15.2,23
10.3,20
14.2,17
25.2,11
26.5,16
17.8,15
17.1,15
22.8,25
21,31
15.9,22
27.3,17
25,11
32.5,11
55.5,3
25.8,11
16.5,18
13.7,24
13.9,29
12.9,31
11.1,23
19.4,18
36.1,13
24.5,21
17.4,21
21.7,25
15.6,28
22.8,23
19.3,29
20.1,25
17.4,27
29.7,16
42.2,33
12.6,33
10.2,28
19.6,27
15.9,27
17.9,26
19.6,23
16.2,22
12.2,17
17.7,20
48.5,15
33.5,15
16.7,24
12.1,33
15.3,31
27.4,24
29.5,23
35.1,19
16.6,22
26.2,20
23.7,33
11.7,32
16,32
23.1,25
21.2,20
25.6,15
28.2,19
24.3,23
17.1,31
19.9,25
30.2,17
34.2,16
30.9,14
44.9,10
45.6,7
72.3,6
41.9,13
14.7,30
16.4,29
17.9,29
43.1,13
17.9,26
15.8,17
33.7,8
28.3,17
19.6,22
19.6,17
30.9,13
24,17
55.4,34
20.2,24
32.5,11
20.2,17
24.8,20
46.3,11
25.7,26
18.7,27
18.9,19
33.9,13
19.8,21
13.8,28
32.6,15
29.9,16
31.5,17
41.6,10
55.6,7
42,18
12.4,19
19.4,17
21.8,17
19.6,25
23.8,20
26.3,17
32.7,13
28.5,15
44.5,17
59.4,29
21.1,16
15.9,10
21.8,17
24.4,15
59.1,22
19.5,32
15.7,31
12.3,25
18.4,24
33.2,7
17.1,33
14.9,26
18.8,32
27.7,21
19.9,28
16.9,28
17.6,37
18.7,29
19.8,29
17.8,31
18.3,29
19.5,26
21.6,20
27.9,21
23.7,23
