pm25,temp
5.3,48.1
3.3,42.9
5.1,38.9
9.1,40.8
11.2,44.9
10.2,47
13.7,47.1
13.1,48.8
20.4,50.2
11.2,50.8
4.1,50.5
4.4,52.7
6.9,43.5
10.9,41.8
7.5,43.9
4.3,41.1
4.8,44.2
8.7,50.9
7,36.8
14.7,39
4.9,45.5
6.6,54
12.4,55.5
7.3,52
5.9,41.4
7.3,37.6
18.2,38.9
6,41.6
2.9,47.3
8.8,49.2
7.7,50.5
9.2,47.1
12,45.1
14.6,46.9
9.4,46
3.4,37.2
5.8,35.3
6.8,38.8
5.3,43.6
6.1,51.2
7.1,51
10.4,50.2
9.2,50.6
10.9,56.1
8.9,46.9
8,43.6
5.6,48.4
7.6,51.6
8.5,53.8
8.8,49.4
3.2,44.4
4.3,39.8
3.6,40.2
3.5,50.6
7.7,53.4
4.3,49.9
4.4,48.8
4,54.6
6.3,57.8
3.9,64.3
2.4,61.7
2.6,54.9
4.5,53.2
5.4,57.1
3.9,60.1
4.5,60.7
4.2,61.1
5.9,57.3
7,56.7
5,52.8
5.7,24.2
11.3,22.9
12.5,36.6
4.9,44.7
6.1,40.1
8.9,43.6
11.8,56.3
9.5,53.6
6.1,50.3
8.8,55.1
6.7,61.4
10.7,60.5
13.9,54
10.7,57.7
8.7,54.8
