pm10,wind
43.1,5.2
17.9,7.5
15.8,5.5
33.7,4
28.3,5
19.6,5.5
19.6,5.6
30.9,3.5
24,6
55.4,10.6
20.2,5
32.5,3.1
20.2,6.6
24.8,6.1
46.3,4.4
25.7,8.5
18.7,7.5
18.9,5.9
33.9,4
19.8,7
13.8,6.9
32.6,4.9
29.9,5.9
31.5,3.7
41.6,3.3
55.6,3.7
42,7.6
12.4,5.8
19.4,5.7
21.8,5.4
19.6,8.5
23.8,7.6
26.3,5.1
32.7,4.7
28.5,5.1
44.5,5.6
59.4,16
21.1,5.6
15.9,4.3
21.8,5
24.4,4.3
59.1,8.4
19.5,10.4
15.7,10.1
12.3,5.6
18.4,6.6
33.2,6
17.1,10.9
14.9,6.7
18.8,6.9
27.7,3.5
19.9,8.4
16.9,9.6
17.6,9.9
18.7,5.6
19.8,7.3
17.8,8.2
18.3,6.9
19.5,7
21.6,5.2
27.9,5.1
23.7,6.5
17.4,13.5
20.3,5.7
24.9,5.3
13.3,7.3
14.2,5.6
19.2,4.5
39.1,6.5
21.7,9.5
16.1,5
24.2,5.3
18.8,5.5
30.8,6.2
34.7,5.2
28.1,7.4
24.6,10.1
